Sample,Material Type,Exposure Type,Exposure Step,Exposure Time,Total UV Dose
sa19601.00,hydrolytically.stabilized,baseline,0,0,0
sa19601.01,hydrolytically.stabilized,dampheat,1,168,0
sa19601.02,hydrolytically.stabilized,dampheat,2,336,0
sa19601.03,hydrolytically.stabilized,dampheat,3,504,0
sa19601.04,hydrolytically.stabilized,dampheat,4,672,0
sa19601.05,hydrolytically.stabilized,dampheat,5,840,0
sa19601.06,hydrolytically.stabilized,dampheat,6,1008,0
sa19601.07,hydrolytically.stabilized,dampheat,7,1176,0
sa19601.15,hydrolytically.stabilized,mASTMG154,1,168,36.6828
sa19601.16,hydrolytically.stabilized,mASTMG154,2,336,73.3656
sa19601.17,hydrolytically.stabilized,mASTMG154,3,504,110.0484
sa19601.18,hydrolytically.stabilized,mASTMG154,4,672,146.7312
sa19601.19,hydrolytically.stabilized,mASTMG154,5,840,183.414
sa19601.20,hydrolytically.stabilized,mASTMG154,6,1008,220.0968
sa19601.21,hydrolytically.stabilized,mASTMG154,7,1176,256.7796
sa19601.22,hydrolytically.stabilized,ASTMG154,1,168,36.6828
sa19601.23,hydrolytically.stabilized,ASTMG154,2,336,73.3656
sa19601.24,hydrolytically.stabilized,ASTMG154,3,504,110.0484
sa19601.25,hydrolytically.stabilized,ASTMG154,4,672,146.7312
sa19601.26,hydrolytically.stabilized,ASTMG154,5,840,183.414
sa19601.27,hydrolytically.stabilized,ASTMG154,6,1008,220.0968
sa19601.28,hydrolytically.stabilized,ASTMG154,7,1176,256.7796
sa19603.00,unstabilized,baseline,0,0,0
sa19603.01,unstabilized,dampheat,1,168,0
sa19603.02,unstabilized,dampheat,2,336,0
sa19603.03,unstabilized,dampheat,3,504,0
sa19603.04,unstabilized,dampheat,4,672,0
sa19603.05,unstabilized,dampheat,5,840,0
sa19603.06,unstabilized,dampheat,6,1008,0
sa19603.07,unstabilized,dampheat,7,1176,0
sa19603.15,unstabilized,mASTMG154,1,168,36.6828
sa19603.16,unstabilized,mASTMG154,2,336,73.3656
sa19603.17,unstabilized,mASTMG154,3,504,110.0484
sa19603.18,unstabilized,mASTMG154,4,672,146.7312
sa19603.19,unstabilized,mASTMG154,5,840,183.414
sa19603.20,unstabilized,mASTMG154,6,1008,220.0968
sa19603.21,unstabilized,mASTMG154,7,1176,256.7796
sa19603.22,unstabilized,ASTMG154,1,168,36.6828
sa19603.23,unstabilized,ASTMG154,2,336,73.3656
sa19603.24,unstabilized,ASTMG154,3,504,110.0484
sa19603.25,unstabilized,ASTMG154,4,672,146.7312
sa19603.26,unstabilized,ASTMG154,5,840,183.414
sa19603.27,unstabilized,ASTMG154,6,1008,220.0968
sa19603.28,unstabilized,ASTMG154,7,1176,256.7796
sa19604.00,uv.stabilized,baseline,0,0,0
sa19604.01,uv.stabilized,dampheat,1,168,0
sa19604.02,uv.stabilized,dampheat,2,336,0
sa19604.03,uv.stabilized,dampheat,3,504,0
sa19604.04,uv.stabilized,dampheat,4,672,0
sa19604.05,uv.stabilized,dampheat,5,840,0
sa19604.06,uv.stabilized,dampheat,6,1008,0
sa19604.07,uv.stabilized,dampheat,7,1176,0
sa19604.15,uv.stabilized,mASTMG154,1,168,36.6828
sa19604.16,uv.stabilized,mASTMG154,2,336,73.3656
sa19604.17,uv.stabilized,mASTMG154,3,504,110.0484
sa19604.18,uv.stabilized,mASTMG154,4,672,146.7312
sa19604.19,uv.stabilized,mASTMG154,5,840,183.414
sa19604.20,uv.stabilized,mASTMG154,6,1008,220.0968
sa19604.21,uv.stabilized,mASTMG154,7,1176,256.7796
sa19604.22,uv.stabilized,ASTMG154,1,168,36.6828
sa19604.23,uv.stabilized,ASTMG154,2,336,73.3656
sa19604.24,uv.stabilized,ASTMG154,3,504,110.0484
sa19604.25,uv.stabilized,ASTMG154,4,672,146.7312
sa19604.26,uv.stabilized,ASTMG154,5,840,183.414
sa19604.27,uv.stabilized,ASTMG154,6,1008,220.0968
sa19604.28,uv.stabilized,ASTMG154,7,1176,256.7796
